J0855-4644      133.900750    -46.737056   0.064686  7.26e-15     7.500      0.20      238.20       *       *  
J0855-4658      133.831542    -46.972944   0.575072  1.36e-14    11.000      0.23      472.70       *       *  
J0857-4424      134.479829    -44.402867   0.326774  2.33e-14     9.900      0.88      184.43       *    2.09  
J0900-3144      135.183138    -31.741915   0.011110  4.89e-20     0.800      3.80       75.71       *       *  
J0901-4624      135.417167    -46.413472   0.441995  8.75e-14     5.100      0.46      198.80       *       *  
J0904-4246      136.246667    -42.770556   0.965171  1.89e-15    21.000      0.60      145.80       *    2.07  
J0904-7459      136.045000    -74.995222   0.549553  4.63e-16    20.000     14.00       51.10       *   -0.19  
J0905-4536      136.349583    -45.614722   0.988281  1.49e-16    35.000      0.83      179.70       *    2.20  
J0905-5127      136.466342    -51.463531   0.346287  2.49e-14     9.000      1.10      196.43       *    1.91  
J0905-6019      136.313521    -60.322794   0.340854  5.22e-16     6.000      0.36       91.40       *       *  
J0907-5157      136.816250    -51.966458   0.253556  1.83e-15    13.000      9.30      103.72       *    1.06  
J0908-1739      137.159092    -17.660464   0.401626  6.69e-16     9.500      3.20       15.88   -1.40    1.28  
J0908-4913      137.148042    -49.218472   0.106755  1.52e-14     2.800     10.00      180.37       *    0.82  
J0912-3851      138.177917    -38.850833   1.526085  3.59e-15    38.000      0.14       71.50       *       *  
J0919-6040      139.866125    -60.680667   1.216976  1.00e-17    26.000      0.23       82.50       *       *  
J0921+6254      140.308897     62.903864   1.567994  3.61e-15    38.000      0.50       13.15   -1.50    1.84  
J0922+0638      140.558425      6.639806   0.430627  1.37e-14    10.500      4.20       27.30   -1.80    2.01  
J0922-4949      140.562337    -49.820022   0.950289  9.76e-14     6.900      0.52      237.10       *       *  
J0924-5302      141.036208    -53.045611   0.746295  3.55e-14    15.000      1.10      152.90       *    1.91  
J0924-5814      141.129167    -58.235111   0.739501  4.88e-15    41.000      4.30       57.40       *    1.30  
J0932-5327      143.095250    -53.453056   4.392159  8.37e-15    62.000      0.15      122.00       *       *  
J0934-5249      143.617917    -52.824222   1.444773  4.65e-15    25.000      1.20      100.00       *    2.16  
J0940-5428      145.242583    -54.477944   0.087545  3.29e-14     4.900      0.66      134.50       *       *  
J0941-5244      145.421446    -52.734578   0.658558  1.14e-15    18.000      0.28      157.94       *    2.93  
J0942-5552      145.565958    -55.881194   0.664367  2.29e-14    11.000     10.00      180.20       *    1.36  
J0942-5657      145.726925    -56.962067   0.808127  3.96e-14     7.000      0.72      159.74       *    2.31  
J0943+1631      145.875417     16.526944   1.087418  9.11e-17    70.100      1.40       20.34   -1.20    1.28  
J0944-1354      146.120650    -13.911564   0.570264  4.53e-17     6.900      0.60       12.50   -3.00    3.01  
J0945-4833      146.409392    -48.554028   0.331586  4.83e-15     4.600      0.39       98.10       *       *  
J0949-6902      147.335696    -69.044889   0.640016  6.37e-16     4.000      0.31       93.00       *       *  
J0953+0755      148.288790      7.926597   0.253065  2.30e-16     9.500     84.00        2.97   -1.70    1.25  
J0954-5430      148.525167    -54.514861   0.472834  4.39e-14     7.500      0.36      200.30       *       *  
J0955-5304      148.872917    -53.071306   0.862118  3.52e-15     7.800      0.94      156.90       *    2.74  
J0957-5432      149.483375    -54.534417   0.203557  1.95e-15     3.600      0.18      226.10       *       *  
J1000-5149      150.117254    -51.832811   0.255677  9.59e-16     4.500      0.26       72.80       *       *  
J1001-5507      150.408250    -55.118528   1.436583  5.14e-14    15.000      6.30      130.32       *    2.03  
J1001-5559      150.285833    -55.983389   1.661177  8.60e-16    17.000      0.64      159.30       *       *  
J1001-5939      150.384292    -59.654944   7.733640  5.99e-14    39.000      0.15      113.00       *       *  
J1002-5559      150.741250    -55.993611   0.777501  1.57e-15    25.000      0.12      426.00       *       *  
J1002-5919      150.585417    -59.327000   0.713489  1.04e-16    61.300      0.17      347.00       *       *  
J1012+5307      153.139323     53.117306   0.005256  1.71e-20     0.690      3.20        9.02   -1.70    1.79  
J1012-5830      153.228750    -58.507111   2.133591  3.77e-14    31.000      0.08      294.00       *       *  
J1012-5857      153.202083    -58.961111   0.819911  1.77e-14    10.000      1.70      383.90       *    1.74  
J1013-5934      153.382725    -59.574083   0.442901  5.58e-16     7.400      1.90      379.78       *       *  
J1015-5719      153.908167    -57.320222   0.139882  5.74e-14    46.000      0.90      278.70       *       *  
J1016-5345      154.130000    -53.753833   0.769584  1.93e-15     8.700      0.82       66.80       *    1.16  
J1016-5819      154.050417    -58.316986   0.087834  6.98e-16     4.200      0.31      252.10       *       *  
J1016-5857      154.088167    -58.953361   0.107386  8.08e-14     7.800      0.46      394.20       *       *  
J1017-5621      154.303583    -56.358528   0.503459  3.13e-15     7.300      2.90      438.70       *    1.31  
J1017-7156      154.463868    -71.944902   0.002339  2.22e-21     0.060      1.00       94.22       *       *  
J1018-1642      154.668190    -16.702816   1.804695  1.74e-15    30.600      0.60       48.82   -1.70    1.71  
J1019-5749      154.967250    -57.818306   0.162499  2.01e-14    44.000      0.80     1039.40       *       *  
J1020-5921      155.058458    -59.359444   1.238305  4.05e-14    19.000      0.45       80.00       *       *  
J1020-6026      155.047500    -60.435222   0.140480  6.74e-15    14.000      0.14      445.00       *       *  
J1021-5601      155.353417    -56.030806   0.670026  5.34e-17    52.000      0.37      212.00       *       *  
J1022+1001      155.741664     10.031329   0.016453  4.33e-20     0.972      6.10       10.25   -1.40    0.95  
